LE BOURGET	2006-01-30 00:00:00	1
LE PETIT QUEVILLY	2006-01-30 00:00:00	1
LE PETIT QUEVILLY	2006-01-30 00:00:00	1
SURZUR	2006-01-30 00:00:00	1
SURZUR	2006-01-30 00:00:00	1
THAON	2006-01-30 00:00:00	1
LANGRUNE SUR MER	2006-01-30 00:00:00	1
LANGRUNE SUR MER	2006-01-30 00:00:00	1
DORCEAU	2006-01-30 00:00:00	1
COSSE LE VIVIEN	2006-01-30 00:00:00	4
VARENNES SUR LOIRE	2006-01-31 00:00:00	1
ARON	2006-01-31 00:00:00	2
MARTIGNY	2006-01-31 00:00:00	1
MARTIGNY	2006-01-31 00:00:00	1
LE CERCUEIL	2006-01-31 00:00:00	1
FALAISE	2006-01-31 00:00:00	1
FALAISE	2006-01-31 00:00:00	1
TOURVILLE SUR PONT AUDEMER	2006-01-31 00:00:00	1
TOURVILLE SUR PONT AUDEMER	2006-01-31 00:00:00	1
CERISY LA FORET	2006-01-31 00:00:00	1
CERISY LA FORET	2006-01-31 00:00:00	2
PASSAIS VILLAGES	2006-01-31 00:00:00	1
SAINT GREGOIRE	2006-01-31 00:00:00	1
TINCHEBRAY	2006-01-31 00:00:00	3
BRETTEVILLE SUR ODON	2006-01-31 00:00:00	2
BRETTEVILLE SUR ODON	2006-01-31 00:00:00	1
BRETTEVILLE SUR ODON	2006-01-31 00:00:00	1
MOULINES	2006-01-31 00:00:00	5
LONRAI	2006-01-31 00:00:00	3
LE MANS	2006-01-31 00:00:00	1
LASSY	2006-01-31 00:00:00	1
LASSY	2006-01-31 00:00:00	1
EPREVILLE PRES LE NEUBOURG	2006-01-31 00:00:00	1
LA SELLE LA FORGE	2006-01-31 00:00:00	1
LA BAZOGE	2006-01-31 00:00:00	1
LA BAZOGE	2006-01-31 00:00:00	2
JUVIGNY LE TERTRE	2006-01-31 00:00:00	1
JUVIGNY LE TERTRE	2006-01-31 00:00:00	1
ROCHEFORT SUR LOIRE	2006-01-31 00:00:00	2
HEROUVILLE SAINT CLAIR	2006-01-31 00:00:00	1
HEROUVILLE SAINT CLAIR	2006-01-31 00:00:00	2
HEROUVILLE SAINT CLAIR	2006-01-31 00:00:00	2
NOGENT LE ROTROU	2006-01-31 00:00:00	1
CHANU	2006-01-31 00:00:00	1
ARNAGE	2006-01-31 00:00:00	1
DEMOUVILLE	2006-01-31 00:00:00	1
MONT ST JEAN	2006-01-31 00:00:00	1
DOUVILLE EN AUGE	2006-01-31 00:00:00	1
COULOMBIERS	2006-01-31 00:00:00	1
EQUEURDREVILLE HAINNEVILLE	2006-01-31 00:00:00	1
LA FLECHE	2006-01-31 00:00:00	1
